INV_HEADER,Investment Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,
INV_BASIS,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,
INV_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,
INV_SEC_ALLOC,Asset Allocation,,,,,,,,,,,,,,,,,,,,,,,,,
INV_H_QUAL,Asset Class,Allocation %,Yield,Duration,Quality,,,,,,,,,,,,,,,,,,,,,
INV_GOV_QUAL,Government/Agency Bonds,0.55,0.035,4,AAA,,,,,,,,,,,,,,,,,,,,,
INV_CORP_QUAL,Corporate Bonds,0.35,0.045,3.5,A,,,,,,,,,,,,,,,,,,,,,
INV_MUNI_QUAL,Municipal Bonds,0.05,0.03,5,AA,,,,,,,,,,,,,,,,,,,,,
INV_CASH_QUAL,Money Market / Cash,0.05,0.02,0.1,AAA,,,,,,,,,,,,,,,,,,,,,
INV_EQ_QUAL,Equities,0,0.06,0,--,,,,,,,,,,,,,,,,,,,,,
INV_ALT_QUAL,Alternatives,0,0.07,0,--,,,,,,,,,,,,,,,,,,,,,
INV_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,
INV_TOTAL_DUR,Total / Weighted Average,1,0.0375,3.68,,,,,,,,,,,,,,,,,,,,,,
INV_CHECK_VAL,Allocation Check,OK,,,,,,,,,,,,,,,,,,,,,,,,
INV_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,
INV_SEC_SUMM,Portfolio Summary,,,,,,,,,,,,,,,,,,,,,,,,,
INV_WTD_YIELD,Weighted-Average Yield,0.0375,,,,,,,,,,,,,,,,,,,,,,,,
INV_WTD_DUR,Weighted-Average Duration,3.68,,,,,,,,,,,,,,,,,,,,,,,,
INV_LIQUID_PCT,Liquid Allocation,0.05,,,,,,,,,,,,,,,,,,,,,,,,
INV_INVEST_PCT,Invested Allocation,0.95,,,,,,,,,,,,,,,,,,,,,,,,
INV_FLOOR,Liquidity Floor,500000,,,,,,,,,,,,,,,,,,,,,,,,
INV_LIQUID_YIELD,Liquid Cash Yield,0.02,,,,,,,,,,,,,,,,,,,,,,,,
INV_INVEST_YIELD,Invested Asset Yield,0.038421052631579,,,,,,,,,,,,,,,,,,,,,,,,
INV_SPACER4,,,,,,,,,,,,,,,,,,,,,,,,,,
INV_SEC_QINC,Quarterly Investment Income,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total
INV_Q_POOL,Investable Pool,-25000,19449875,19029774.719883,18717984.7938424,18717984.7938424,18336788.6769012,18306491.6105533,18637354.4677927,19284662.1498671,19284662.1498671,18480662.0838345,69723582.3673194,72400175.8949874,74769630.2675691,74769630.2675691,75132088.0475914,77053067.7600218,83139603.6583741,91310128.6082169,91310128.6082169,95949348.5444771,103307709.096568,111460464.667026,129459353.394057,129459353.394057
INV_Q_INVESTED,Invested Assets,0,18477381.25,18078285.9838888,17782085.5541503,17782085.5541503,17419949.2430561,17391167.0300256,17705486.7444031,18320429.0423738,18320429.0423738,17556628.9796428,66237403.2489534,68780167.1002381,71031148.7541906,71031148.7541906,71375483.6452118,73200414.3720207,78982623.4754554,86744622.1778061,86744622.1778061,91151881.1172532,98142323.6417397,105887441.433675,122986385.724354,122986385.724354
INV_Q_LIQUID,Liquid Cash,-25000,972493.75,951488.73599415,935899.239692121,935899.239692121,916839.43384506,915324.580527665,931867.723389635,964233.107493356,964233.107493356,924033.104191724,3486179.11836597,3620008.79474937,3738481.51337845,3738481.51337845,3756604.40237957,3852653.38800109,4156980.18291871,4565506.43041085,4565506.43041085,4797467.42722386,5165385.4548284,5573023.2333513,6472967.66970283,6472967.66970283
INV_Q_INC_INV,Income on Invested,0,0,177480.109375,173646.694318932,351126.803693932,170801.611243812,167323.196676724,167046.735946299,170065.859518608,675237.403385443,175972.542117537,168636.04151499,636227.689101789,660651.60504176,1641487.87777608,682272.876191568,685580.303434271,703109.243310199,758648.883382664,2829611.3063187,833204.923549979,875537.805468354,942682.845506184,1017076.74008661,3668502.31461113
INV_Q_INC_LIQ,Income on Liquid,0,-125,4862.46875,4757.44367997075,9494.91242997075,4679.49619846061,4584.1971692253,4576.62290263832,4659.33861694818,18499.6548872724,4821.16553746678,4620.16552095862,17430.8955918298,18100.0439737469,44972.2706240021,18692.4075668923,18783.0220118978,19263.2669400054,20784.9009145935,77523.5974333891,22827.5321520542,23987.3371361193,25826.927274142,27865.1161667565,100506.912729072
INV_Q_INC_TOTAL,Total Investment Income,0,-125,182342.578125,178404.137998903,360621.716123903,175481.107442273,171907.393845949,171623.358848937,174725.198135557,693737.058272715,180793.707655004,173256.207035948,653658.584693619,678751.649015507,1686460.14840008,700965.28375846,704363.325446169,722372.510250204,779433.784297258,2907134.90375209,856032.455702034,899525.142604473,968509.772780326,1044941.85625337,3769009.2273402
INV_MGMT_FEE_BPS,Management Fee (bps),0.0025,,,,,,,,,,,,,,,,,,,,,,,,
INV_MGMT_FEE,Investment Management Fee,0,0,11548.36328125,11298.9287399305,22847.2920211805,11113.8034713439,10887.4682769101,10869.479393766,11065.9292152519,43936.680357272,11450.2681514836,10972.8931122767,41398.3770305959,42987.6044376488,106809.142732005,44394.4679713692,44609.6772782574,45750.2589825129,49364.1396721596,184118.543904299,54215.3888611288,56969.9256982833,61338.9522760873,66179.6508960467,238703.917731546
INV_Q_INC_NET,Net Investment Income,0,-125,170794.21484375,167105.209258973,337774.424102723,164367.303970929,161019.925569039,160753.879455171,163659.268920305,649800.377915443,169343.439503521,162283.313923672,612260.207663023,635764.044577858,1579651.00566807,656570.815787091,659753.648167912,676622.251267691,730069.644625098,2723016.35984779,801817.066840905,842555.21690619,907170.820504238,978762.205357323,3530305.30960866
,,,,,,,,,,,,,,,,,,,,,,,,,,
