SF_HEADER,Sales Funnel,,,,,,,,,,,,,,,,,,,,,,,,,
SF_BASIS,Pipeline Planning Tool,,,,,,,,,,,,,,,,,,,,,,,,,
SF_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_SEC_UNIV,Addressable Universe,,,,,,,,,,,,,,,,,,,,,,,,,
SF_UNIVERSE,Total Addressable MGAs,200,,,,,,,,,,,,,,,,,,,,,,,,
SF_SPACER2,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_SEC_COH,Cohort Allocation & Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,
SF_COH_HDR_TYPE,Cohort Name,% of Universe,MGA Count,Avg Premium,Product Type,,,,,,,,,,,,,,,,,,,,,
SF_COH1_PRODUCT,Property Direct,0.3,60,1500000,Property,,,,,,,,,,,,,,,,,,,,,
SF_COH2_PRODUCT,Casualty Programs,0.25,50,2000000,Casualty,,,,,,,,,,,,,,,,,,,,,
SF_COH3_PRODUCT,Specialty Lines,0.25,50,1000000,Specialty,,,,,,,,,,,,,,,,,,,,,
SF_COH4_PRODUCT,E&S Lines,0.2,40,1800000,E&S,,,,,,,,,,,,,,,,,,,,,
SF_COH5_PRODUCT,Cohort 5,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SF_COH6_PRODUCT,Cohort 6,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SF_COH7_PRODUCT,Cohort 7,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SF_COH8_PRODUCT,Cohort 8,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SF_COH9_PRODUCT,Cohort 9,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SF_COH10_PRODUCT,Cohort 10,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SF_COH_TOTAL_CNT,Total,1,200,,,,,,,,,,,,,,,,,,,,,,,
SF_ALLOC_CHECK,Allocation Check,OK,,,,,,,,,,,,,,,,,,,,,,,,
SF_SPACER3,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_SEC_FUNNEL,Conversion Funnel,,,,,,,,,,,,,,,,,,,,,,,,,
SF_FUN_HDR_C10,Metric,Cohort 1,Cohort 2,Cohort 3,Cohort 4,Cohort 5,Cohort 6,Cohort 7,Cohort 8,Cohort 9,Cohort 10,,,,,,,,,,,,,,,
SF_CONTACT,Contact Rate,0.8,0.75,0.7,0.65,0,0,0,0,0,0,,,,,,,,,,,,,,,
SF_QUALIFY,Qualification Rate,0.6,0.55,0.5,0.45,0,0,0,0,0,0,,,,,,,,,,,,,,,
SF_QUOTE,Quote Rate,0.4,0.35,0.3,0.25,0,0,0,0,0,0,,,,,,,,,,,,,,,
SF_BIND,Bind Rate,0.25,0.2,0.15,0.1,0,0,0,0,0,0,,,,,,,,,,,,,,,
