"Timestamp","Severity","Source","Code","Message","Detail"
"4/7/2026 5:34:59 AM","INFO","KernelFormula","I-801","Created 15 formula-driven tab(s) with 10595 formulas.",""
"4/7/2026 5:34:59 AM","INFO","KernelAssumptions","I-900","No assumption entries found in assumptions_config.",""
"4/7/2026 5:34:59 AM","INFO","KernelExtension","I-801","Running 1 PostBootstrap extension(s)",""
"4/7/2026 5:34:59 AM","INFO","KernelExtension","I-802","Executing extension: CurveLib_Boot (Ext_CurveLib.BuildCurveReferenceTab)",""
"4/7/2026 5:35:25 AM","INFO","KernelBootstrap","I-500","Bootstrap completed successfully","Kernel v1.3.0"
"4/7/2026 5:35:26 AM","INFO","KernelEngine","I-206","PRNG config: DeterministicMode=AUTO, DefaultSeed=0 (resolved=0)",""
"4/7/2026 5:35:26 AM","INFO","KernelRandom","I-501","PRNG auto-seeded with value 20082441","To reproduce this run, use InitSeed 20082441"
"4/7/2026 5:35:26 AM","INFO","KernelRandom","I-500","PRNG initialized with seed 20082441",""
"4/7/2026 5:35:26 AM","INFO","InsuranceDomainEngine","I-310","ReadUWInputs: 10 programs loaded.",""
"4/7/2026 5:35:26 AM","INFO","KernelTransform","I-700","Transform registered: QuarterlyAgg (order=100)","Ins_QuarterlyAgg.AggregateToQuarterly"
"4/7/2026 5:35:26 AM","INFO","KernelTransform","I-700","Transform registered: LossTriangles (order=110)","Ins_Triangles.BuildTriangleTab"
"4/7/2026 5:35:26 AM","INFO","KernelTransform","I-700","Transform registered: CountTriangles (order=111)","Ins_Triangles.BuildCountTriangleTab"
"4/7/2026 5:35:28 AM","INFO","Ins_GranularCSV","I-370","Granular CSV written: C:\Users\gente\Downloads\RDK_v1.3.0_20260403_latest\output\granular_detail_Base_20260407_053526.csv",""
"4/7/2026 5:35:28 AM","INFO","KernelTransform","I-701","Running 3 registered transform(s)",""
"4/7/2026 5:35:28 AM","INFO","KernelTransform","I-702","Executing transform: QuarterlyAgg","Ins_QuarterlyAgg.AggregateToQuarterly"
"4/7/2026 5:35:34 AM","INFO","Ins_QuarterlyAgg","I-360","AggregateToQuarterly completed: 10 entities, 84 quarters on QuarterlySummary tab.",""
"4/7/2026 5:35:34 AM","INFO","KernelTransform","I-702","Executing transform: LossTriangles","Ins_Triangles.BuildTriangleTab"
"4/7/2026 5:35:36 AM","INFO","Ins_Triangles","I-370","Loss Triangles completed: 10 programs, 20 exposure quarters, 20 dev quarters.",""
"4/7/2026 5:35:36 AM","INFO","KernelTransform","I-702","Executing transform: CountTriangles","Ins_Triangles.BuildCountTriangleTab"
"4/7/2026 5:35:39 AM","INFO","Ins_Triangles","I-370","Count Triangles completed: 10 programs, 20 exposure quarters, 20 dev quarters.",""
"4/7/2026 5:35:39 AM","INFO","KernelOutput","I-300","Detail tab written","2410 rows, 64 columns"
"4/7/2026 5:35:39 AM","INFO","KernelCsvIO","I-400","CSV written successfully","C:\Users\gente\Downloads\RDK_v1.3.0_20260403_latest\workbook\..\scenarios\scenario_20260407_053539.csv (2410 rows)"
"4/7/2026 5:35:41 AM","INFO","KernelTransform","I-730","Data model refreshed after run.",""
"4/7/2026 5:35:44 AM","INFO","KernelFormula","I-801","Created 15 formula-driven tab(s) with 10913 formulas.",""
"4/7/2026 5:35:44 AM","INFO","KernelFormula","I-811","Created 101 named range(s).",""
"4/7/2026 5:35:44 AM","INFO","KernelExtension","I-801","Running 1 PostOutput extension(s)",""
"4/7/2026 5:35:44 AM","INFO","KernelExtension","I-802","Executing extension: ReportGen (Ext_ReportGen.ReportGen_Execute)",""
"4/7/2026 5:35:51 AM","INFO","Ext_ReportGen","I-900","Report generated: C:\Users\gente\Downloads\RDK_v1.3.0_20260403_latest\output\InsuranceNewCo_Financial_Model_Report_20260407_053544.pdf",""
"4/7/2026 5:35:52 AM","INFO","KernelEngine","I-200","RunProjections completed successfully","10 entities, 60 periods, 2410 rows"
